N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,300","1,300",-2.30%,100,"3,301,290","5,969,783",49.69,"10,863,403",8.97,13.92,
2,LG에너지솔루션,"435,500","1,000",-0.23%,500,"1,019,070","234,000",5.15,"263,115",177.47,10.68,
3,삼성바이오로직스,"821,000","9,000",-1.08%,"2,500","584,339","71,174",10.89,"35,098",111.46,8.21,
4,SK하이닉스,"75,000","1,000",-1.32%,"5,000","546,002","728,002",49.72,"1,703,805",5.89,16.84,
5,LG화학,"600,000","2,000",-0.33%,"5,000","423,554","70,592",48.08,"103,230",21.11,18.47,
6,삼성전자우,"50,500",800,-1.56%,100,"415,558","822,887",71.60,"701,764",8.19,N/A,
7,삼성SDI,"591,000","12,000",-1.99%,"5,000","406,398","68,765",47.20,"196,314",24.24,8.45,
8,현대차,"151,000","3,000",-1.95%,"5,000","322,639","213,668",28.46,"544,921",6.74,6.84,
9,NAVER,"177,500","2,500",-1.39%,100,"291,187","164,049",48.37,"653,997",31.27,106.72,
10,기아,"59,300","1,600",-2.63%,"5,000","240,380","405,363",35.47,"1,158,426",5.20,14.69,
11,카카오,"53,100",500,-0.93%,100,"236,513","445,410",26.32,"1,312,935",15.22,17.10,
12,POSCO홀딩스,"276,500","14,500",-4.98%,"5,000","233,839","84,571",51.40,"599,989",4.53,13.97,
13,셀트리온,"160,500","5,000",-3.02%,"1,000","225,992","140,805",20.47,"421,870",39.55,16.04,
14,삼성물산,"113,500","4,500",-3.81%,100,"212,117","186,887",16.45,"277,017",11.99,5.40,
15,KB금융,"48,500",950,-1.92%,"5,000","198,315","408,897",73.19,"705,008",4.29,9.80,
16,현대모비스,"200,500","6,500",-3.14%,"5,000","189,042","94,285",35.68,"215,155",7.92,6.87,
17,신한지주,"35,200",700,-1.95%,"5,000","179,092","508,785",62.27,"1,030,759",3.93,8.80,
18,SK이노베이션,"154,000","2,500",-1.60%,"5,000","142,397","92,466",26.03,"197,898",6.52,1.91,
